700098278 	 158742018 	 2 	 female 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700098278_from_subject_158742018__sex_female_
700098370 	 158458797 	 2 	 female 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700098370_from_subject_158458797__sex_female_
700098943 	 158236265 	 2 	 female 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700098943_from_subject_158236265__sex_female_
700099013 	 158114885 	 2 	 female 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700099013_from_subject_158114885__sex_female_
700099070 	 158276726 	 2 	 female 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700099070_from_subject_158276726__sex_female_
700099601 	 158438567 	 2 	 male 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700099601_from_subject_158438567__sex_male_
700099757 	 158964549 	 2 	 male 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700099757_from_subject_158964549__sex_male_
700100238 	 158883629 	 2 	 female 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700100238_from_subject_158883629__sex_female_
700101649 	 159389382 	 2 	 male 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700101649_from_subject_159389382__sex_male_
700102054 	 368533040 	 1 	 male 	 JCVI 	 Throat 	 HMP_Human_metagenome_sample_700102054_from_subject_368533040__sex_male_
700102253 	 159166850 	 2 	 male 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700102253_from_subject_159166850__sex_male_
700102596 	 159227541 	 2 	 female 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700102596_from_subject_159227541__sex_female_
700102916 	 159146620 	 2 	 male 	 BCM 	 Throat 	 HMP_Human_metagenome_sample_700102916_from_subject_159146620__sex_male_
700103286 	 682449369 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700103286_from_subject_682449369__sex_female_
700103438 	 763860675 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700103438_from_subject_763860675__sex_male_
700103495 	 132902142 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700103495_from_subject_132902142__sex_female_
700103571 	 863126187 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700103571_from_subject_863126187__sex_male_
700105046 	 178713055 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700105046_from_subject_178713055__sex_female_
700105104 	 256789458 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700105104_from_subject_256789458__sex_female_
700105161 	 612472597 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700105161_from_subject_612472597__sex_female_
700105218 	 763820215 	 2 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700105218_from_subject_763820215__sex_female_
700105271 	 764325968 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700105271_from_subject_764325968__sex_male_
700105408 	 763557224 	 2 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700105408_from_subject_763557224__sex_female_
700105474 	 643185023 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700105474_from_subject_643185023__sex_female_
700105628 	 953045535 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700105628_from_subject_953045535__sex_female_
700105674 	 763456073 	 2 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700105674_from_subject_763456073__sex_female_
700105731 	 764447348 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700105731_from_subject_764447348__sex_male_
700105788 	 375450439 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700105788_from_subject_375450439__sex_female_
700105842 	 763516763 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700105842_from_subject_763516763__sex_male_
700105890 	 668248235 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700105890_from_subject_668248235__sex_male_
700105930 	 658594300 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700105930_from_subject_658594300__sex_male_
700105980 	 465578759 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700105980_from_subject_465578759__sex_female_
700106073 	 737052003 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700106073_from_subject_737052003__sex_female_
700106346 	 289996019 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700106346_from_subject_289996019__sex_male_
700106404 	 517810313 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700106404_from_subject_517810313__sex_male_
700106559 	 208027353 	 1 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700106559_from_subject_208027353__sex_female_
700106607 	 763982056 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700106607_from_subject_763982056__sex_male_
700106655 	 764224817 	 2 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700106655_from_subject_764224817__sex_male_
700106817 	 764143897 	 2 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700106817_from_subject_764143897__sex_female_
700106865 	 764811490 	 2 	 female 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700106865_from_subject_764811490__sex_female_
700106938 	 147406386 	 1 	 male 	 WUGC 	 Throat 	 HMP_Human_metagenome_sample_700106938_from_subject_147406386__sex_male_
