700113608 	 763536994 	 3 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700113608_from_subject_763536994__sex_male_
700114009 	 763395383 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700114009_from_subject_763395383__sex_male_
700114057 	 764062976 	 2 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700114057_from_subject_764062976__sex_female_
700114114 	 763840445 	 2 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700114114_from_subject_763840445__sex_female_
700114176 	 289996019 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700114176_from_subject_289996019__sex_male_
700114227 	 663835652 	 1 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700114227_from_subject_663835652__sex_female_
700114284 	 763638144 	 2 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700114284_from_subject_763638144__sex_female_
700114338 	 765560005 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700114338_from_subject_765560005__sex_male_
700114380 	 764953101 	 2 	 male 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700114380_from_subject_764953101__sex_male_
700114440 	 764042746 	 2 	 female 	 WUGC 	 Supragingival_plaque 	 HMP_Human_metagenome_sample_700114440_from_subject_764042746__sex_female_
